utterance syllables
Aal 1
Abbild 2
Abderhalden 4
Abend 2
Abmessung 3
Absage 3
Abt 1
Achim 2
Achse 2
Achtung 2
Adebar 3
Adverb 2
Aesthetik 3
Aetna 2
Aeusserung 3
Affaere 3
Aichinger 3
Aids 1
Airbag 2
Aischylos 3
Akazie 3
Akkordeon 4
Akt 1
Aktie 2
Aktivitaet 4
Akuesprache 4
Aloeextrakt 5
Alter 2
Altertum 3
Amsel 2
Anaesthesie 4
Analog-digital-Wandler 8
Analyse 4
Andreas 3
Angela 3
Ankara 3
Anomalie 4
Anomalien 5
Aphasie 3
Apostroph 3
Appell 2
April 2
Arrest 2
Art 1
Arterie 4
Arthritis 3
Arzt 1
Aspekt 2
Aspirant 3
Atlas 2
Atom 2
Auffahrt 2
Aufgabe 3
Aufruf 2
Aufsicht 2
Aufwind 2
Augsburg 2
August_Monat 2
August_Name 2
Auktion 2
Aurikel 3
Auspuffflamme 4
Aussicht 2
Autodach 3
Autor 2
Ave 2
Babel 2
Bacchus 2
Bad 1
Badewannenhalterung 7
Baerte 2
Baesweiler 3
Bafoeg 2
Bagger 2
Baguette 2
Bahn 1
Baiser 2
Bajae 2
Baldachin 3
Baldrian 3
Balletttruppe 4
Bank 1
Barcelona 4
Barrel 2
Barsch_Fisch 1
Bart 1
Bau 1
Bayern 2
Beamte 3
Beat 1
Beate 3
Beaulieu 2
Beaute 2
Becher 2
Beet 1
Begehung 3
Behoerde 3
Beispiel 2
Bejahung 3
Bellevue 2
Berlin 2
Beruf 2
Betriebssportgemeinschaft 6
Bett 1
Betttuch 2
Betty 2
Bharat 2
Bhutan 2
Biene 2
Billard 2
Bischoefe 3
Bischof 2
Bistum 2
Bitte 2
Blanc 1
Blei 1
Blut 1
Blut_und_Wasser 4
Boa 2
Bodden 2
Boden 2
Boehmen 2
Boell 1
Boerde 2
Boeschung 2
Bohemien 3
Boiler 2
Boje 2
Bojen 2
Bonmot 2
Bonsai 2
Boom 1
Bordeaux 2
Bosnien 3
Bouillon 2
Boulevard 3
Bowle 2
Bowling 2
Boykott 2
Bratsche 2
Bremerhaven 4
Brennnessel 3
Brettchen 2
Brezel 2
Bridge 1
Brigade 3
Brigg 1
Brombeere 3
Brot 1
Bruder 2
Bruegge 2
Brust 1
Buch 1
Buchruecken 3
Bucht 1
Buckow 2
Buckower 3
Buddha 2
Buechner 2
Buedchen 2
Buefettier 3
Buehne 2
Buelow 2
Buero 2
Bueschel 2
Buhle 2
Bundesethikrat 5
Bus 1
Busch 1
Bussmann 2
Byron 2
Caen 1
Caesar 2
Cafe 2
Calvin 2
Cambrai 2
Camping 2
Cancan 2
Cape 1
Cash 1
Cello 2
Celsius 2
Cembalo 3
Cent 1
Ceylon 2
Chagrin 2
Chambord 2
Champagner 3
Champion 2
Chanson 2
Chaos 2
Chaplin 2
Chauvinist 3
Chef 1
Chemie 2
Chemnitz 2
Cherry 2
Chianti 2
Chiemsee 2
Chigi 2
Chile 2
China 2
Chinin 2
Chlodwig 2
Chor 1
Chorauftritt 3
Chronik 2
Chur 1
Ch̢teau 2
Circe 2
City 2
Clairvaux 2
Clou 1
Clown 1
Coburg 2
Coesfeld 2
College 2
Corps 1
Couch 1
Coup 1
Cowboy 2
Cranach 2
Crescendo 3
Crew 1
Curriculum_vitae 6
Cuxhaven 3
Cypern 2
Czermak 2
DAAD 4
DNA 3
Dach 1
Dank 1
Dateienunterverzeichnis 8
Daudet 2
Deal 1
Deich 1
Deismus 3
Dejeuner 3
Dekret 2
Delinquent 3
Demokratie 4
Deodorant 4
Depot 2
Deskription 3
Dhaka 2
Dialog 3
Diarrhoe 3
Dies_irae 4
Dilthey 2
Disput 2
Dogge 2
Doktor 2
Doktoren 3
Dolmetscher 3
Dom 1
Doyen 2
Draht 1
